company,period,metric,value
cloudcrm_inc,2023-01,revenue,2829644.8405097635
cloudcrm_inc,2023-01,cogs,813726.6270589033
cloudcrm_inc,2023-01,gross_profit,2015918.2134508602
cloudcrm_inc,2023-01,sales_marketing,1282393.3274668148
cloudcrm_inc,2023-01,rd,610975.5247538899
cloudcrm_inc,2023-01,ga,479231.81493863947
cloudcrm_inc,2023-01,ebitda,-356682.45370848384
cloudcrm_inc,2023-01,net_income,-378557.45370848384
cloudcrm_inc,2023-01,cash,2449762.436490669
cloudcrm_inc,2023-01,accounts_receivable,3301252.313928057
cloudcrm_inc,2023-01,inventory,0.0
cloudcrm_inc,2023-01,accounts_payable,1220589.9405883548
cloudcrm_inc,2023-01,debt,5250000.0
cloudcrm_inc,2023-01,equity,-719575.1901696285
cloudcrm_inc,2023-01,operating_cash_flow,-271209.13111835613
cloudcrm_inc,2023-01,investing_cash_flow,-121748.98273138411
cloudcrm_inc,2023-01,financing_cash_flow,42720.550340409114
cloudcrm_inc,2023-01,net_cash_flow,-350237.56350933114
cloudcrm_inc,2023-01,total_assets,5751014.750418726
cloudcrm_inc,2023-01,total_liabilities_and_equity,5751014.750418726
cloudcrm_inc,2023-02,revenue,2941743.6760883024
cloudcrm_inc,2023-02,cogs,833971.4452950263
cloudcrm_inc,2023-02,gross_profit,2107772.230793276
cloudcrm_inc,2023-02,sales_marketing,1123918.02750557
cloudcrm_inc,2023-02,rd,700707.4321342916
cloudcrm_inc,2023-02,ga,617608.9606309816
cloudcrm_inc,2023-02,ebitda,-334462.18947756756
cloudcrm_inc,2023-02,net_income,-356337.18947756756
cloudcrm_inc,2023-02,cash,2021017.1456640135
cloudcrm_inc,2023-02,accounts_receivable,3432034.288769686
cloudcrm_inc,2023-02,inventory,0.0
cloudcrm_inc,2023-02,accounts_payable,1250957.1679425396
cloudcrm_inc,2023-02,debt,5250000.0
cloudcrm_inc,2023-02,equity,-1047905.73350884
cloudcrm_inc,2023-02,operating_cash_flow,-259232.79901226817
cloudcrm_inc,2023-02,investing_cash_flow,-132576.35129728797
cloudcrm_inc,2023-02,financing_cash_flow,-36936.14051709939
cloudcrm_inc,2023-02,net_cash_flow,-428745.2908266556
cloudcrm_inc,2023-02,total_assets,5453051.4344337
cloudcrm_inc,2023-02,total_liabilities_and_equity,5453051.4344337
cloudcrm_inc,2023-03,revenue,3054402.912450015
cloudcrm_inc,2023-03,cogs,856503.1662495779
cloudcrm_inc,2023-03,gross_profit,2197899.746200437
cloudcrm_inc,2023-03,sales_marketing,1292606.5190268813
cloudcrm_inc,2023-03,rd,603164.3922816755
cloudcrm_inc,2023-03,ga,600835.1818098628
cloudcrm_inc,2023-03,ebitda,-298706.3469179827
cloudcrm_inc,2023-03,net_income,-320581.3469179827
cloudcrm_inc,2023-03,cash,1634375.1442431998
cloudcrm_inc,2023-03,accounts_receivable,3563470.0645250175
cloudcrm_inc,2023-03,inventory,0.0
cloudcrm_inc,2023-03,accounts_payable,1284754.7493743668
cloudcrm_inc,2023-03,debt,5250000.0
cloudcrm_inc,2023-03,equity,-1336909.54060615
cloudcrm_inc,2023-03,operating_cash_flow,-228821.55972491263
cloudcrm_inc,2023-03,investing_cash_flow,-142229.32341349823
cloudcrm_inc,2023-03,financing_cash_flow,-15591.118282402633
cloudcrm_inc,2023-03,net_cash_flow,-386642.0014208135
cloudcrm_inc,2023-03,total_assets,5197845.208768217
cloudcrm_inc,2023-03,total_liabilities_and_equity,5197845.208768217
cloudcrm_inc,2023-04,revenue,3189332.6986291446
cloudcrm_inc,2023-04,cogs,908293.1087275274
cloudcrm_inc,2023-04,gross_profit,2281039.5899016173
cloudcrm_inc,2023-04,sales_marketing,1275629.0377287357
cloudcrm_inc,2023-04,rd,672483.7683048695
cloudcrm_inc,2023-04,ga,623657.6611176231
cloudcrm_inc,2023-04,ebitda,-290730.8772496111
cloudcrm_inc,2023-04,net_income,-312605.8772496111
cloudcrm_inc,2023-04,cash,1208104.6804496618
cloudcrm_inc,2023-04,accounts_receivable,3720888.1484006685
cloudcrm_inc,2023-04,inventory,0.0
cloudcrm_inc,2023-04,accounts_payable,1362439.6630912912
cloudcrm_inc,2023-04,debt,5250000.0
cloudcrm_inc,2023-04,equity,-1683446.8342409604
cloudcrm_inc,2023-04,operating_cash_flow,-218004.77034901292
cloudcrm_inc,2023-04,investing_cash_flow,-169826.84120804255
cloudcrm_inc,2023-04,financing_cash_flow,-38438.85223648266
cloudcrm_inc,2023-04,net_cash_flow,-426270.46379353816
cloudcrm_inc,2023-04,total_assets,4928992.828850331
cloudcrm_inc,2023-04,total_liabilities_and_equity,4928992.828850331
cloudcrm_inc,2023-05,revenue,3218227.0179788964
cloudcrm_inc,2023-05,cogs,925373.1065087644
cloudcrm_inc,2023-05,gross_profit,2292853.911470132
cloudcrm_inc,2023-05,sales_marketing,1533688.5766586245
cloudcrm_inc,2023-05,rd,735377.2344544545
cloudcrm_inc,2023-05,ga,573735.2985967512
cloudcrm_inc,2023-05,ebitda,-549947.1982396981
cloudcrm_inc,2023-05,net_income,-571822.1982396981
cloudcrm_inc,2023-05,cash,617046.7824034932
